Traste,Longitud (cm),Hz Phyphox (Android),Hz Phyphox (Iphone),Hz Spectroid (Android),Hz Spectroid (Iphone),Hz Decivel X (Android),Hz Decivel X (iPhone),,,,
0,68.1,117.19,117.19,110,112,114,119,,,,
1,64.4,117.19,117.19,116,117,120,128,,,,
2,61,117.19,117.19,124,124,127,134,,,,
3,57.7,140.62,140.62,132,130,135,141,,,,
4,54.8,140.63,140.62,140,139,142,149,,,,
5,51.8,140.63,140.62,148,147,150,158,,,,
6,49.1,164.06,164.06,156,156,159,167,,,,Frecuencia 2
7,46.5,164.06,164.06,167,165,168,172, ,,,
8,44.1,164.06,164.06,175,174,177,181,,,,
9,41.9,187.5,187.5,186,184.6,187,192,,,,
10,39.6,187.5,187.5,196,195.7,197,203,,,,
11,37.6,210.94,210.94,210,207.8,209,213,,,,
12,35.7,210.94,210.94,221,220.9,222,224,,,,
13,33.8,234.38,234.38,234,235.4,237,240,,,,
14,32.1,257.81,257.81,248,248.7,249,254,,,,
15,30.5,257.81,257.81,264,262,264,266,,,,
16,29,281.25,281.25,280,277.4,279,283,,,,
17,27.5,304.69,304.69,293,296,294,300,,,,
18,26.2,304.69,304.69,312,312,316,319,,,,
19,24.9,328.13,328.12,334,330,333,338,,,,
